scraped_at,bank,currency,bid,ask,mid,spread,rate_date,source_bank_label
2026-05-27T12:52:53+00:00,Nordea,RSD,0.089829,0.093689,0.091759,0.00386,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,SAR,2.4323,2.5008,2.46655,0.0685,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,SGD,7.1765,7.3204,7.24845,0.1439,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,THB,0.28016,0.28794,0.28405,0.00778,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,TND,3.1238,3.2773,3.20055,0.1535,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,TRY,0.1976,0.2057,0.20165,0.0081,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,USD,9.1675,9.351,9.25925,0.1835,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,ZAR,0.56015,0.57206,0.566105,0.01191,2026-05-27,
2026-05-27T12:52:53+00:00,SEB,AUD,6.582,6.662,6.622,0.08,2026-05-27,Australien
2026-05-27T12:52:53+00:00,SEB,DKK,1.437555,1.453555,1.445555,0.016,2026-05-27,Danmark
2026-05-27T12:52:53+00:00,SEB,EUR,10.73185,10.87185,10.80185,0.14,2026-05-27,Euro
2026-05-27T12:52:53+00:00,SEB,HKD,1.1709,1.1971,1.184,0.0262,2026-05-27,Hongkong
2026-05-27T12:52:53+00:00,SEB,INR,0.093751,0.099951,0.096851,0.0062,2026-05-27,Indien
2026-05-27T12:52:53+00:00,SEB,IDR,0.000508,0.000541,0.000525,3.3e-05,2026-05-27,Indonesien
2026-05-27T12:52:53+00:00,SEB,ISK,0.075262,0.075602,0.075432,0.00034,2026-05-27,Island
2026-05-27T12:52:53+00:00,SEB,JPY,0.057735,0.058676,0.058206,0.000941,2026-05-27,Japan
2026-05-27T12:52:53+00:00,SEB,CAD,6.6674,6.7535,6.71045,0.0861,2026-05-27,Kanada
2026-05-27T12:52:53+00:00,SEB,CNY,1.3578,1.3778,1.3678,0.02,2026-05-27,Kina
2026-05-27T12:52:53+00:00,SEB,HRK,1.42365,1.443651,1.433651,0.020001,2026-12-11,Kroatien
2026-05-27T12:52:53+00:00,SEB,MYR,2.323625,2.353626,2.338626,0.030001,2026-05-27,Malaysia
2026-05-27T12:52:53+00:00,SEB,MAD,0.9917,1.0263,1.009,0.0346,2026-05-27,Marocko
2026-05-27T12:52:53+00:00,SEB,MXN,0.529,0.5431,0.53605,0.0141,2026-05-27,Mexiko
2026-05-27T12:52:53+00:00,SEB,NOK,0.998005,1.011005,1.004505,0.013,2026-05-27,Norge
2026-05-27T12:52:53+00:00,SEB,NZD,5.4098,5.4918,5.4508,0.082,2026-05-27,Nya Zeeland
2026-05-27T12:52:53+00:00,SEB,PLN,2.5281,2.5682,2.54815,0.0401,2026-05-27,Polen
2026-05-27T12:52:53+00:00,SEB,RUB,0.128245,0.132625,0.130435,0.00438,2026-05-27,Ryssland
2026-05-27T12:52:53+00:00,SEB,SAR,2.4392,2.5034,2.4713,0.0642,2026-05-27,Saudiarabien
